size,red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
10012,156.34,80.72,46.99,9.26,175.26,156.34,28.63,190.07,122,-248,314,0.516310605,1.516310605,0.816873481,1.816873481,0.659495486,0.340504514,0.628092264,1.396990115,0.550396057,0.449603943
10361,161.88,102.67,52.34,13.98,171.95,161.89,6.87,212.21,105,-246,336,0.634235236,1.634235236,0.957561156,1.957561156,0.611907012,0.388092988,0.723601905,1.479273644,0.510839724,0.489160276
10033,153.78,101.17,49.06,14.88,172.2,153.78,3.55,205.89,107,-243,321,0.657887892,1.657887892,0.976915073,1.976915073,0.603177094,0.396822906,0.740633011,1.498767501,0.505838624,0.494161376
10045,161.38,113.55,53.76,16.24,167.99,161.4,-5.93,221.17,107,-240,346,0.703618788,1.703618788,1.036745569,2.036745569,0.586985778,0.413014222,0.77767965,1.527795854,0.490979342,0.509020658
10677,158.89,98.52,49.26,13.77,174.17,158.89,11.11,208.15,122,-234,321,0.620051608,1.620051608,0.930077412,1.930077412,0.617264287,0.382735713,0.709968773,1.473312515,0.518113934,0.481886066
9511,155.47,95.79,63.15,10.51,153.99,155.47,-3.47,188.11,107,-245,331,0.61613173,1.61613173,1.022319419,2.022319419,0.618761442,0.381238558,0.727014912,1.438157534,0.494481728,0.505518272
9231,154.62,91.43,53.85,12.43,165.22,154.63,9.34,192.2,107,-251,319,0.591320657,1.591320657,0.939593843,1.939593843,0.62840886,0.37159114,0.696886842,1.438576294,0.515571857,0.484428143
9596,137.1,67.76,47.46,11.8,167.78,137.1,21.88,157.4,119,-248,309,0.494237783,1.494237783,0.840408461,1.840408461,0.669237528,0.330762472,0.624295622,1.367143476,0.543357641,0.456642359
9576,157.85,93.77,59.36,10.38,159.68,157.85,4.72,192.26,115,-243,325,0.594044979,1.594044979,0.970098194,1.970098194,0.62733487,0.37266513,0.704985958,1.43170204,0.507588912,0.492411088
9650,162.83,107.56,66.8,12.18,149.69,162.83,-11.53,203.59,88,-238,329,0.660566235,1.660566235,1.070810047,2.070810047,0.602204224,0.397795776,0.759308453,1.468405696,0.482902814,0.517097186
9679,158.43,91.51,58.73,11.87,159.85,158.43,8.19,191.21,106,-247,328,0.577605252,1.577605252,0.948305245,1.948305245,0.633872129,0.366127871,0.691840118,1.421394364,0.513266595,0.486733405
9590,126.48,46.38,38.61,40.28,181.93,126.48,41.49,134.25,118,-245,284,0.366698292,1.366698292,0.671963947,1.671963947,0.731690385,0.268309615,0.514810104,1.28093767,0.598099021,0.401900979
9373,128.91,48.56,37.11,26.89,182.9,128.91,43.24,140.36,120,-250,280,0.37669692,1.37669692,0.664572182,1.664572182,0.726376289,0.273623711,0.516022166,1.29249488,0.600754963,0.399245037
9150,152.04,72.54,45.06,8.21,177.81,152.05,34.44,179.52,117,-251,304,0.477111287,1.477111287,0.773480663,1.773480663,0.676997061,0.323002939,0.596651446,1.36803653,0.563862928,0.436137072
9448,170.8,114.47,70.45,12.49,149.2,170.8,-14.12,214.82,84,-242,327,0.670199063,1.670199063,1.082669789,2.082669789,0.598731027,0.401268973,0.766507772,1.474487047,0.480152929,0.519847071
9816,169.01,103.54,58.01,12.13,168.13,169.02,7.46,214.54,103,-243,331,0.612626472,1.612626472,0.9558606,1.9558606,0.620106402,0.379893598,0.711611312,1.456083164,0.511283882,0.488716118
