red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow,Sweetness
139.85,43.94,40.93,63.24,186.59,139.85,54.98,142.86,156,-236,295,12.3
160.68,76.81,45,10.08,187.31,160.68,38.87,192.49,137,-249,334,12.3
172.22,119.11,61.75,15.74,169.49,172.22,-8.64,229.58,100,-187,372,12.3
163.79,69.09,52.06,56.04,179.17,163.79,42.64,180.82,143,-201,313,12.3
189.73,176.8,74.98,25.76,159.68,189.8,-62.05,291.55,58,-181,388,11.45
138.74,65,47.86,46.05,175.17,138.75,25.88,155.88,126,-246,307,11.45
147.24,83.92,44.14,39.3,187.76,147.25,19.18,187.02,143,-189,379,11.45
178.45,98.71,58.86,30.88,177.63,178.45,20.88,218.3,153,-144,374,11.45
185.81,147.5,73.95,19.08,161.11,185.81,-35.64,259.36,109,-175,374,11.45
149.85,86.87,44.77,19.18,184.03,149.85,18.21,191.95,114,-230,348,11.45
158.04,82.83,41.18,38.43,192.08,158.04,34.03,199.69,144,-249,379,13
121.08,39.82,37.69,80.45,191.11,121.08,43.57,123.21,152,-245,319,13
109.76,22.73,29.69,118.15,208.02,109.76,57.34,102.8,141,-247,262,13
109.38,24.35,34.06,136.32,203.99,109.38,50.97,99.67,111,-250,258,13
163.29,85.59,37.14,14.9,200.7,163.29,40.56,211.74,143,-242,378,13
125.98,33.68,31.15,102.14,207.63,125.98,61.15,128.51,140,-249,315,13
184.2,126.79,58.17,30.93,180.44,184.2,-0.76,252.82,141,-230,397,12.8
169.61,101.51,66.68,60.96,168.92,169.68,1.42,204.44,160,-238,383,12.8
138.11,36.1,47.17,136.78,194.43,138.11,54.84,127.04,144,-158,264,12.8
197.5,131.75,68.84,24.43,171.01,197.5,-3.09,260.41,163,-147,372,12.8
200.55,165.1,69.48,21.27,168.34,200.55,-34.03,296.17,75,-166,404,12.8
163.47,81.73,46.93,55.38,188.22,163.47,34.81,198.27,157,-202,361,12.8
167.32,100.03,53.18,20.49,179.62,167.32,14.11,214.17,143,-247,376,15.4
174.57,115.93,63.04,14.85,167.72,174.77,-4.4,227.46,144,-185,373,15.4
150.95,36.96,37.91,92.29,199.55,150.95,76.08,150,158,-249,277,15.4
175.06,68.54,48.98,42.87,187.93,175.06,57.54,194.62,154,-234,367,15.4
191.48,114.02,61.66,12.39,173.25,191.48,15.8,243.84,141,-214,354,15.4
173.86,71.05,48.09,61.15,190,173.86,54.72,196.82,154,-200,333,15.4
174.21,102.35,47.94,37.94,185.25,174.21,23.92,228.62,131,-248,407,15.3
151,59.26,54.12,86.11,174.67,151,37.62,156.14,148,-236,368,15.3
109.4,39.55,52.87,149.24,171.96,109.4,16.98,96.08,126,-229,312,15.3
162.95,58.37,50.68,78.89,184.61,162.95,53.9,170.64,140,-248,358,15.3
194.54,100.58,45.71,12.09,195.36,194.54,48.25,249.41,160,-243,381,15.3
149.31,59.09,48.41,94.13,182.1,149.31,41.81,159.99,165,-242,369,15.3
182.96,175.78,73.46,27.41,156.01,184.66,-66.28,285.28,46,-223,390,14.35
169.77,103.69,67.64,28.68,159.16,169.84,-1.56,205.82,138,-235,349,14.35
178.35,106.14,58.17,18.79,174.48,178.4,14.04,226.32,141,-207,403,14.35
189.38,148.52,74.85,19.68,158.08,189.43,-33.99,263.05,124,-206,368,14.35
181.78,167.91,70.35,25.12,158.18,182.02,-56.48,279.34,58,-186,378,14.35
183.69,120.93,64.92,46.56,166.33,183.78,-2.16,239.7,134,-194,408,14.35
