,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, height/area
163,165.09,109.05,64.66,-8.62,209.48,107.0,-246.0,374.0,11330,174.61,138.58,76.9,-40.87,236.29,79.0,-239.0,363.0,11356,1.0022947925860548
164,183.78,136.24,53.32,-5.78,266.7,107.0,-248.0,409.0,11562,112.18,38.23,45.27,28.68,105.14,125.0,-251.0,283.0,11147,0.9641065559591766
165,183.2,165.44,81.73,-63.97,266.91,92.0,-241.0,360.0,13513,151.75,64.57,50.13,37.05,166.19,136.0,-253.0,313.0,12492,0.924443128838896
166,194.15,137.43,51.68,5.04,279.9,103.0,-250.0,413.0,13424,133.2,45.84,46.29,41.07,132.75,153.0,-249.0,359.0,12769,0.9512067938021456
167,180.37,170.49,80.54,-70.66,270.32,76.0,-241.0,373.0,12504,155.32,114.94,69.26,-28.88,201.0,77.0,-240.0,354.0,12557,1.0042386436340371
168,169.53,122.2,64.34,-17.01,227.39,107.0,-212.0,388.0,12318,148.21,88.6,62.08,-2.47,174.73,107.0,-239.0,329.0,11780,0.9563240785841858
169,183.04,144.86,68.47,-30.29,259.43,114.0,-245.0,407.0,13653,155.26,94.11,66.52,-5.37,182.85,105.0,-223.0,377.0,13290,0.973412436827071
170,189.41,134.37,47.91,7.13,275.87,129.0,-173.0,413.0,13469,154.62,63.18,43.74,47.7,174.06,153.0,-253.0,337.0,12481,0.9266463731531666
171,177.61,155.65,65.2,-43.24,268.06,106.0,-225.0,385.0,12811,162.39,72.25,55.19,34.95,179.45,147.0,-198.0,333.0,12026,0.9387245336039342
172,155.21,92.7,55.97,6.54,191.94,105.0,-236.0,393.0,10116,166.32,92.75,59.14,14.43,199.93,144.0,-247.0,337.0,9645,0.9534400948991696
173,144.98,90.6,59.02,-4.64,176.56,115.0,-250.0,382.0,11500,158.19,119.72,81.98,-43.51,195.93,102.0,-252.0,358.0,11543,1.0037391304347827
174,163.28,86.03,62.36,14.89,186.95,134.0,-229.0,359.0,12131,174.08,130.52,77.06,-33.5,227.54,89.0,-228.0,364.0,11583,0.9548264776193224
175,170.91,154.32,64.58,-47.99,260.65,87.0,-242.0,380.0,11449,165.85,90.03,55.43,20.39,200.45,146.0,-227.0,359.0,10738,0.9378985064197748
176,174.99,149.41,70.23,-44.65,254.17,83.0,-247.0,376.0,10745,176.0,154.55,73.53,-52.08,257.02,74.0,-226.0,369.0,10237,0.9527221963704048
177,178.33,143.13,63.13,-27.93,258.33,88.0,-233.0,398.0,11829,167.24,112.49,62.93,-8.18,216.8,141.0,-226.0,385.0,11741,0.9925606560148786
178,181.25,151.52,65.21,-35.48,267.56,107.0,-227.0,401.0,10778,165.21,115.84,66.31,-16.94,214.74,120.0,-253.0,383.0,10358,0.9610317313045093
179,178.1,120.48,49.2,8.42,249.38,129.0,-250.0,406.0,11248,118.43,47.56,46.58,24.29,119.41,120.0,-248.0,357.0,10582,0.9407894736842104
180,193.04,162.37,62.85,-32.18,292.56,99.0,-236.0,404.0,12045,125.14,46.4,50.27,28.47,121.27,116.0,-235.0,298.0,11444,0.9501037775010378
181,164.91,98.44,59.6,6.87,203.75,114.0,-219.0,414.0,12437,170.61,128.4,75.88,-33.67,223.13,114.0,-233.0,376.0,11975,0.9628527780011256
182,171.31,162.44,63.48,-54.61,270.27,67.0,-250.0,376.0,12690,170.7,154.55,67.79,-51.64,257.46,79.0,-216.0,382.0,11755,0.9263199369582348
183,178.6,127.02,66.64,-15.06,238.98,127.0,-249.0,369.0,11294,168.12,116.32,67.15,-15.35,217.29,116.0,-250.0,368.0,11169,0.9889321763768372
184,154.14,90.89,48.48,14.77,196.55,129.0,-248.0,355.0,10452,118.05,45.3,48.61,24.14,114.74,125.0,-250.0,330.0,10157,0.9717757367011098
185,184.72,122.08,67.57,-4.93,239.23,136.0,-229.0,394.0,11291,175.46,159.81,73.94,-58.29,261.33,84.0,-234.0,392.0,11075,0.9808697192454168
186,187.82,137.7,53.03,-2.91,272.49,129.0,-248.0,407.0,10856,104.59,31.39,37.61,35.59,98.37,117.0,-247.0,289.0,10659,0.9818533529845248
187,182.13,118.66,48.18,15.29,252.61,115.0,-211.0,412.0,17771,131.51,44.04,52.81,34.66,122.74,141.0,-252.0,332.0,16511,0.929097968600529
188,187.13,176.56,72.53,-61.96,291.16,91.0,-226.0,383.0,12161,137.97,46.42,43.2,48.35,141.19,135.0,-250.0,359.0,11830,0.9727818435983884
189,166.19,131.3,67.4,-32.51,230.09,113.0,-248.0,364.0,8682,164.51,132.67,69.42,-37.58,227.76,110.0,-240.0,367.0,8491,0.9780004607233356
190,161.31,99.28,59.13,2.9,201.46,134.0,-247.0,368.0,9828,156.13,95.71,58.29,2.13,193.55,128.0,-248.0,345.0,9642,0.981074481074481
191,172.99,154.12,59.56,-40.69,267.55,93.0,-247.0,397.0,10761,140.81,52.7,47.55,40.56,145.96,154.0,-243.0,355.0,10499,0.975652820369854
192,191.81,146.02,53.34,-7.55,284.49,133.0,-220.0,412.0,14533,174.74,90.06,56.3,28.38,208.5,148.0,-223.0,373.0,14124,0.9718571526869882
193,174.96,141.05,65.52,-31.61,250.49,112.0,-239.0,377.0,13874,169.87,137.83,78.0,-45.96,229.7,93.0,-238.0,390.0,13165,0.9488972178175004
194,174.8,119.48,51.48,3.84,242.8,130.0,-232.0,415.0,15450,146.54,81.23,51.02,14.29,176.75,137.0,-251.0,368.0,14359,0.9293851132686084
195,133.98,50.88,49.46,33.64,135.4,145.0,-241.0,324.0,10853,132.71,57.22,53.9,21.59,136.03,121.0,-242.0,334.0,10610,0.9776098774532388
196,145.44,75.7,52.72,17.02,168.42,144.0,-253.0,412.0,11145,171.57,95.27,52.97,23.33,213.87,141.0,-233.0,374.0,10593,0.950471063257066
197,176.65,125.35,62.01,-10.71,239.99,118.0,-240.0,394.0,10299,174.05,124.31,63.71,-13.97,234.65,113.0,-250.0,407.0,10030,0.9738809593164384
198,152.19,77.54,58.32,16.33,171.41,118.0,-244.0,373.0,11391,170.2,151.56,73.43,-54.79,248.33,77.0,-246.0,371.0,10792,0.9474146255815996
199,184.64,153.94,66.49,-35.79,272.09,120.0,-246.0,389.0,10294,129.93,49.32,46.86,33.75,132.39,130.0,-249.0,359.0,10342,1.004662910433262
