1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area,Sweetness
182.96,175.78,73.46,-66.28,285.28,46,-223,390,12658,169.77,103.69,67.64,-1.56,205.82,138,-235,349,12370,178.35,106.14,58.17,14.04,226.32,141,-207,403,12448,189.38,148.52,74.85,-33.99,263.05,124,-206,368,12442,181.78,167.91,70.35,-56.48,279.34,58,-186,378,12584,183.69,120.93,64.92,-2.16,239.7,134,-194,408,12448,0.983409701,14.35
168.33,89.06,46.83,32.44,210.56,139,-232,381,12831,145.85,40.78,45.82,59.25,140.81,181,-249,300,11845,136.28,42.59,42.67,51.02,136.2,133,-208,340,11907,175.81,69.1,37.2,69.51,207.71,165,-244,368,12099,171.8,65.92,39.01,66.87,198.71,166,-221,361,11802,125.97,33.52,40.9,51.55,118.59,135,-249,334,12531,0.976619126,15.85
165.36,121.35,61.99,-17.98,224.72,102,-248,405,13585,125.13,56.7,48.48,19.95,133.35,137,-247,312,13271,144.67,60.48,52.98,31.21,152.17,121,-202,326,12862,162.02,72.52,51.67,37.83,182.87,137,-251,326,12652,161.44,103.8,49.89,7.75,215.35,127,-197,409,12991,136.67,59.11,47.24,30.32,148.54,112,-194,312,12346,0.908796467,15.95
165.77,142.44,67.76,-44.43,240.45,93,-225,384,12742,170.77,155.66,67.21,-52.1,259.22,81,-243,374,12169,159.77,100.44,53.07,6.26,207.14,129,-240,342,11589,172.27,134.52,67.57,-29.82,239.22,96,-235,393,12217,178.67,150.75,70.71,-42.79,258.71,83,-247,366,11951,174.75,104.14,59.83,10.78,219.06,129,-220,379,12499,0.98092921,12.95
178.34,158.34,68.37,-48.37,268.31,121,-242,377,10911,184.78,161.88,84.93,-62.03,261.73,68,-246,352,10684,188.45,106.81,61.6,20.04,233.66,111,-180,367,10348,192.92,169.81,82.91,-59.8,279.82,79,-219,378,10140,185.8,180.47,75.93,-70.6,290.34,31,-203,380,10393,193.58,163.62,80.64,-50.68,276.56,44,-229,371,10529,0.96498946,12.7
184.38,170.17,82.15,-67.94,272.4,80,-236,362,9518,164.89,119.45,69.01,-23.57,215.33,136,-241,361,9367,154.24,63.71,48.73,41.8,169.22,132,-236,313,9087,185.75,142.49,75.25,-31.99,252.99,111,-229,368,8967,186.66,182.3,79,-74.64,289.96,46,-182,371,9028,166.28,105.76,59.12,1.4,212.92,124,-245,382,8906,0.935700777,11.55
179.84,140.94,63.54,-24.64,257.24,138,-193,388,16914,190.26,154.38,77.13,-41.25,267.51,122,-200,380,16189,190.35,104.45,60.22,25.68,234.58,149,-211,381,17033,192.64,155.17,70.67,-33.2,277.14,114,-221,393,16878,192.89,166.2,76.23,-49.54,282.86,59,-214,383,15969,183.84,126.31,59.46,-1.93,250.69,124,-239,410,16324,0.965117654,13.3
174.45,164.27,64.65,-54.47,274.07,80,-245,374,11200,172.97,144.41,71.54,-42.98,245.84,115,-236,363,10875,162.88,68.8,41.27,52.81,190.41,138,-243,325,10619,182.01,136.25,66.14,-20.38,252.12,140,-232,385,10998,185.13,185.93,79.54,-80.34,291.52,36,-194,368,10433,170.99,105.12,51.67,14.2,224.44,124,-245,391,10754,0.960178571,12.55
181.19,163.5,56.02,-38.33,288.67,103,-231,406,9554,171.26,108.62,60.53,2.11,219.35,146,-246,356,9820,164.66,71.35,47.85,45.46,188.16,135,-153,394,9322,175.05,131.64,53.72,-10.31,252.97,143,-186,411,9286,189.7,168.37,63.76,-42.43,294.31,66,-200,399,8973,180.42,135.59,55.33,-10.5,260.68,112,-242,426,9666,1.011722839,14.3
189.06,167.05,77.02,-55.01,279.09,108,-220,379,9027,154.87,87.34,57.65,9.88,184.56,139,-242,343,9448,158.51,65.81,59.73,32.97,164.59,148,-219,380,9032,151.37,71.61,47.2,32.56,175.78,132,-212,405,8751,186.5,118.87,58.82,8.81,246.55,123,-177,384,9249,189.05,119.44,69.4,0.21,239.09,144,-214,378,9445,1.046305528,15.15
182.75,166.8,77.59,-61.64,271.96,91,-234,383,11925,166.4,139.87,74.73,-48.2,231.54,72,-241,358,11568,176.74,109.75,62.89,4.1,223.6,109,-245,345,11698,182.42,146.17,74.71,-38.46,253.88,81,-199,369,11641,177.49,150.33,71.78,-44.62,256.04,61,-239,387,11954,172.14,138.22,68.25,-34.33,242.11,89,-222,379,12087,1.013584906,13.15
172.54,131.48,63.23,-22.17,240.79,104,-245,366,11521,162.81,143.37,58.52,-39.08,247.66,81,-238,377,11448,166.68,91.73,51.23,23.72,207.18,125,-247,326,10642,167.13,134.74,52.99,-20.6,248.88,95,-242,392,10685,177.4,157.88,57.78,-38.26,277.5,92,-239,394,11558,174.66,143.3,62.48,-31.12,255.48,81,-214,400,11583,1.005381477,13.15
