1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area
161.48,127.24,66.38,-32.14,222.34,98,-242,361,5960,144.43,85.1,57.64,1.69,171.89,121,-230,326,5885,128.37,40.19,37.48,50.7,131.08,120,-179,281,5783,163.58,131.52,64.37,-32.31,230.73,112,-208,365,5776,166.29,161.84,67.07,-62.62,261.06,42,-244,369,5528,142.87,72.01,44.49,26.37,170.39,111,-246,324,5844,0.980536913
165.69,155.19,76.17,-65.67,244.71,108,-223,353,7591,162.47,151.79,73.74,-63.06,240.52,87,-246,367,7408,159.46,91.1,58.12,10.24,192.44,109,-187,323,7269,166.66,164.27,78.89,-76.5,252.04,75,-209,355,7030,177.54,181.27,92.91,-96.64,265.9,23,-246,349,7092,169.18,146.85,76.87,-54.54,239.16,86,-199,352,7454,0.981952312
160.25,122.99,63.09,-25.83,220.15,139,-250,350,9645,159.55,145.4,62.61,-48.46,242.34,107,-250,355,9107,150.27,83.38,42.12,24.77,191.53,135,-246,375,8774,163.26,137.39,60.75,-34.88,239.9,118,-248,361,9270,175.8,175.3,69.72,-69.22,281.38,34,-241,367,8951,163.61,124.33,57.45,-18.17,230.49,114,-235,369,9262,0.960290306
145.76,59.79,48.11,37.86,157.44,146,-246,335,8926,126.3,54.44,45.88,25.98,134.86,115,-243,313,8542,110.39,26.3,35.79,48.3,100.9,134,-185,246,8054,140.74,37.44,41.55,61.75,136.63,157,-179,309,8566,164.75,83.28,42.17,39.3,205.86,146,-250,351,8487,119.13,34.72,38.11,46.3,115.74,123,-225,336,8455,0.947232803
148.75,78.51,52.2,18.04,175.06,137,-187,399,12012,152.25,99.22,61.9,-8.87,189.57,143,-236,360,11950,134.63,48.6,47.29,38.74,135.94,147,-251,352,11940,174.43,111.06,57.7,5.67,227.79,146,-252,389,11725,180.7,153.48,70.8,-43.58,263.38,53,-224,405,11790,160.18,91.66,58.84,9.68,193,116,-186,353,11212,0.933399933
122.42,46.44,49.48,26.5,119.38,132,-249,311,10441,145.27,69.81,52.21,23.25,162.87,152,-175,363,9958,124.14,29.36,43.48,51.3,110.02,118,-147,276,9931,142.35,39.72,45.04,57.59,137.03,137,-126,316,10400,146.55,43.38,36.09,67.08,153.84,161,-186,336,10433,137.02,30,41.32,65.7,125.7,145,-235,311,10401,0.996168949
175.99,166.51,71.1,-61.62,271.4,98,-250,374,9825,168.83,140.26,69.73,-41.16,239.36,84,-238,376,9338,178.81,141.91,67.09,-30.19,253.63,83,-246,375,9536,178.44,170.74,71.89,-64.19,277.29,85,-208,367,9200,177.61,177.4,70.69,-70.48,284.32,26,-187,381,9478,181.95,152.44,76.52,-47.01,257.87,60,-233,376,9566,0.973638677
174.99,149.47,63.17,-37.65,261.29,99,-243,395,14465,174.38,154.38,68.02,-48.02,260.74,98,-219,393,14104,178.73,102.44,48.78,27.51,232.39,151,-247,376,13724,186.54,121.4,55.38,9.76,252.56,136,-224,385,13515,187.17,158.07,72.5,-43.4,272.74,72,-221,378,13836,187.8,108.67,60.1,19.03,236.37,142,-189,399,14275,0.986864846
178.92,174.3,74.27,-69.65,278.95,68,-248,372,10101,177.15,151.26,76.69,-50.8,251.72,110,-234,361,10300,191.35,134.53,71.51,-14.69,254.37,137,-199,355,10152,183.22,181.01,79.46,-77.25,284.77,77,-248,365,9912,179.29,142.72,64.8,-28.23,257.21,121,-228,375,9683,174.4,140.86,67.96,-34.42,247.3,107,-226,375,9632,0.953568954
174.27,165.86,71.75,-63.34,268.38,113,-214,367,11547,169.3,158.94,73.64,-63.28,254.6,57,-220,360,11074,181.39,117.06,57.23,7.1,241.22,145,-202,370,10725,173.94,162.55,66.76,-55.37,269.73,65,-219,376,10515,179.41,180.01,75.86,-76.46,283.56,16,-247,366,10634,176.39,164.07,70.94,-58.62,269.52,85,-250,390,10561,0.914609855
179.39,183.44,76.66,-80.71,286.17,22,-206,388,8266,168.7,124.75,62.45,-18.5,231,124,-249,374,7986,180.77,139.17,67.89,-26.29,252.05,129,-249,365,8245,174.49,174.65,71.21,-71.37,277.93,72,-246,378,7809,172.36,169.59,66.97,-64.2,274.98,36,-214,373,7782,171.67,149.92,69.35,-47.6,252.24,97,-203,370,7691,0.930437939
151.22,100.29,51.98,-1.05,199.53,131,-246,362,7587,159.21,144.67,64.55,-50.01,239.33,70,-245,362,7330,139.93,64.43,43.74,31.76,160.62,128,-196,317,7442,156.71,133.74,54.61,-31.64,235.84,77,-247,371,7078,170.24,169.66,61.48,-60.9,278.42,54,-242,375,7155,157.66,112.72,51.3,-6.36,219.08,123,-245,382,6914,0.911295637
170.59,124.9,61,-15.31,234.49,128,-248,373,8804,167.69,122.19,65.07,-19.57,224.81,137,-235,373,8683,141.88,45.49,38.64,57.75,148.73,145,-241,298,8183,170.86,110.22,54.9,5.74,226.18,160,-253,386,8220,188.07,171.37,77.45,-60.75,281.99,62,-215,378,8123,173.23,114.51,57.39,1.33,230.35,126,-170,391,8446,0.959336665
176.88,171.4,72.37,-66.89,275.91,105,-247,374,9609,159.95,114.28,63.31,-17.64,210.92,138,-246,362,9512,146.36,63.37,40.15,42.84,169.58,148,-250,286,9329,174.73,171.12,67.91,-64.3,277.94,78,-246,374,9477,172.55,147.73,64.69,-39.87,255.59,106,-246,377,9329,149.13,67.38,42.1,39.65,174.41,152,-244,357,9428,0.981163493
165.7,160.52,66.6,-61.42,259.62,70,-239,377,6619,164.41,158.51,76.69,-70.79,246.23,72,-248,361,6490,150.49,123.5,52.68,-25.69,221.31,65,-239,397,6209,180.24,166.46,79.17,-65.39,267.53,89,-210,374,6285,170.11,173.31,74.2,-77.4,269.22,40,-213,368,6258,155.92,152.74,58.88,-55.7,249.78,61,-247,367,6288,0.949992446
177.7,165.25,69.04,-56.59,273.91,85,-239,372,10337,164.19,114.79,58.61,-9.21,220.37,121,-246,361,10074,166.79,109.92,53.43,3.44,223.28,129,-235,378,9705,172.78,114.95,52.23,5.6,235.5,141,-247,375,10007,182.31,168.49,70.24,-56.42,280.56,78,-198,387,9757,177.11,149.19,68.48,-40.56,257.82,96,-232,380,10267,0.993228209
171.14,163.37,65.97,-58.2,268.54,61,-217,385,11208,160.77,150.11,62.98,-52.32,247.9,104,-248,365,10681,165.08,113.44,50.81,0.83,227.71,136,-248,390,10582,173.07,151.71,63.73,-42.37,261.05,76,-247,384,10502,176.34,182.82,68.57,-75.05,290.59,16,-174,377,10331,174.18,146.09,66.97,-38.88,253.3,105,-213,375,10842,0.967344754
162.33,162.26,65.8,-65.73,258.79,38,-247,368,9011,154.89,139.61,59.56,-44.28,234.94,83,-246,376,8795,165.42,111.49,55.81,-1.88,221.1,114,-201,342,8695,164.7,152.39,62.6,-50.29,254.49,67,-214,369,8301,166.12,169.16,65.29,-68.33,269.99,23,-245,365,8276,165.55,141.86,63.97,-40.28,243.44,91,-234,376,8623,0.956941516
174.9,153.87,67.49,-46.46,261.28,103,-235,384,9117,169.6,145.64,67.9,-43.94,247.34,111,-220,372,9266,167.68,97.14,52.4,18.14,212.42,147,-192,378,9075,175.83,167.06,67.6,-58.83,275.29,104,-243,376,8522,180.06,161.88,69.58,-51.4,272.36,107,-247,380,9390,179.9,129.41,66.7,-16.21,242.61,115,-246,368,8955,0.982230997
171.3,179.54,81.27,-89.51,269.57,29,-211,360,6965,162.33,163.37,71.44,-72.48,254.26,57,-247,349,6864,169.31,144.78,69.37,-44.84,244.72,67,-244,368,6894,169.42,176.44,73.09,-80.11,272.77,53,-216,361,6771,170.61,171.76,75.99,-77.14,266.38,21,-244,365,6483,174.84,168.97,79.24,-73.37,264.57,57,-242,364,6647,0.954343144
165.15,146.36,66.14,-47.35,245.37,86,-235,371,10742,168.97,117.57,65.26,-13.86,221.28,124,-247,363,9971,173.46,102.85,56.15,14.46,220.16,136,-250,345,10039,184.95,135.15,70.05,-20.25,250.05,116,-236,374,10230,177.83,159.68,70.81,-52.66,266.7,94,-250,366,10274,166.66,112.74,54.4,-0.48,225,152,-243,387,10119,0.942003351
164.78,83.38,55.36,26.04,192.8,150,-242,372,13482,174.49,107.71,55.95,10.83,226.25,126,-243,365,12758,153.93,50.78,43.49,59.66,161.22,149,-175,359,13072,167.97,58.58,41.1,68.29,185.45,155,-192,331,12414,192.36,112.47,55.54,24.35,249.29,132,-245,349,12940,161.86,45.13,45.01,71.72,161.98,177,-236,332,12958,0.961133363
154.73,146.66,62.23,-54.16,239.16,40,-249,374,6481,141.83,89.18,54.13,-1.48,176.88,103,-250,321,6471,136.82,89.41,41.88,5.53,184.35,118,-194,358,6134,148.53,120.07,49.02,-20.56,219.58,87,-245,404,6276,164.47,158.34,59.12,-52.99,263.69,62,-223,377,6061,152.33,115.09,51.53,-14.29,215.89,91,-204,368,6456,0.996142571
180.76,159.96,77.04,-56.24,263.68,135,-246,369,9558,165.96,128.39,68.85,-31.28,225.5,133,-246,362,9360,144.22,39.57,32.5,72.15,151.29,163,-244,251,9018,174.53,139.58,71.45,-36.5,242.66,108,-245,354,9568,191.37,181.63,89.64,-79.9,283.36,50,-250,362,9148,169.4,113.82,58.63,-3.05,224.59,165,-242,370,9340,0.977191881
177.23,142.87,63.69,-29.33,256.41,106,-249,385,10875,164.53,101.37,62.08,1.08,203.82,168,-243,376,10578,149.58,45.3,41.71,62.57,153.17,156,-199,310,10437,188.97,131.3,69.28,-11.61,250.99,150,-201,385,10510,188.15,157.75,75.38,-44.98,270.52,110,-246,378,10686,156.22,59.04,50.77,46.41,164.49,150,-223,312,10485,0.964137931
167.76,127.57,69.91,-29.72,225.42,110,-242,367,8699,145.28,81.69,48.58,15.01,178.39,157,-220,358,8513,130.67,47.87,38.51,44.29,140.03,118,-207,286,8159,172.24,111.69,63.77,-3.22,220.16,121,-196,351,7991,180.41,136.95,73.51,-30.05,243.85,105,-220,351,8152,137.45,47.91,34.76,54.78,150.6,160,-183,346,8035,0.923669387
166.62,146.18,65.48,-45.04,247.32,86,-214,376,9437,150.24,80.74,52.16,17.34,178.82,148,-247,318,9154,157.32,83.2,46.3,27.82,194.22,137,-197,367,8743,164.71,142.3,56.39,-33.98,250.62,100,-246,395,9237,162.46,154.25,63.22,-55.01,253.49,65,-251,376,8772,162.17,114.56,53.82,-6.21,222.91,126,-232,408,9535,1.010384656
184.62,145.68,69.46,-30.52,260.84,95,-224,375,14192,172.87,120.42,63.94,-11.49,229.35,149,-250,356,13266,147.69,49.78,41.75,56.16,155.72,154,-171,399,13956,188.5,113.14,63.15,12.21,238.49,138,-246,358,13688,196.55,156.61,77.84,-37.9,275.32,82,-243,369,13653,173.18,92.93,53.7,26.55,212.41,152,-193,361,14121,0.994997182
170.59,117.14,51.49,1.96,236.24,150,-252,386,7742,141.17,57.77,38.92,44.48,160.02,159,-251,323,7811,123.8,19.29,32.29,72.22,110.8,157,-224,255,7166,172.32,120.17,53.44,-1.29,239.05,153,-250,381,7232,185.34,138.8,51.59,-5.05,272.55,128,-248,400,6982,129.88,25.19,31.51,73.18,123.56,151,-243,311,7445,0.96163782
177.85,170.03,62.11,-54.29,285.77,86,-250,388,9169,165.98,152.65,67.11,-53.78,251.52,107,-248,370,9007,178.83,85.68,50.41,42.74,214.1,167,-248,367,9533,176.72,168.93,72.16,-64.37,273.49,117,-246,367,8947,178.76,177.39,80.94,-79.57,275.21,66,-235,386,9217,175.21,98.75,52.64,23.82,221.32,151,-250,377,9193,1.002617516
184.51,102.58,61.79,20.14,225.3,113,-246,390,14863,172.17,74.09,70.02,28.06,176.24,115,-249,335,13998,143.67,52.1,67.54,24.03,128.23,120,-253,276,14600,144.78,54.45,59.62,30.71,139.61,118,-252,330,14765,197.95,104.26,62.44,31.25,239.77,127,-205,405,14570,183.75,75.54,58.78,49.43,200.51,127,-252,360,14753,0.992599072
167.17,129.97,71.69,-34.49,225.45,105,-215,365,8361,139.25,64.92,60.88,13.45,143.29,125,-254,340,8321,132.69,62.8,52.1,17.79,143.39,87,-251,315,8020,172.26,102.39,64.67,5.2,209.98,118,-255,356,7988,181.95,131.07,77.17,-26.29,235.85,85,-251,358,8281,155.47,81.21,58.84,15.42,177.84,110,-214,364,8038,0.961368257
179.36,122.18,73.64,-16.46,227.9,110,-255,352,8515,178.16,108.57,69.16,0.43,217.57,132,-215,357,8424,141.04,50.44,51.5,39.1,139.98,123,-255,348,8345,174.3,83.47,56.14,34.69,201.63,131,-251,341,8159,202.64,165.27,95.61,-58.24,272.3,92,-251,360,8260,182.44,114.46,72.35,-4.37,224.55,106,-252,357,8445,0.991779213
165.73,101.8,68.9,-4.97,198.63,116,-252,379,8938,170.75,120.75,84.76,-34.76,206.74,104,-248,345,8549,145.07,55.94,55.76,33.37,145.25,118,-217,272,8497,154.36,76.94,58.29,19.13,173.01,108,-253,346,8660,188.48,132.21,81.85,-25.58,238.84,95,-253,341,8323,176.36,94.99,66.08,15.29,205.27,109,-256,343,9011,1.008167375
171.08,103.45,71.82,-4.19,202.71,80,-255,356,9426,155.75,69.06,63.84,22.85,160.97,128,-258,322,9260,158.06,60.06,58.87,39.13,159.25,125,-252,299,9050,182.46,118.92,74.46,-10.92,226.92,108,-255,350,9047,173.07,107.22,70.36,-4.51,209.93,78,-179,360,8945,151.72,61.02,57.14,33.56,155.6,110,-238,314,8938,0.948228305
170.61,109.81,73.21,-12.41,207.21,119,-255,355,13004,178.32,157.15,82.34,-61.17,253.13,78,-251,368,12595,163.88,66.27,61.97,35.64,168.18,119,-255,264,12814,176.56,77.03,70.21,29.32,183.38,123,-255,298,12755,184.1,106.87,74.66,2.57,216.31,127,-254,373,12534,184.12,140.05,77.24,-33.17,246.93,116,-254,380,12913,0.993002153
170.01,122.09,65.08,-17.16,227.02,91,-198,387,9800,183.34,119.99,67.96,-4.61,235.37,118,-252,356,9733,164.18,67.45,62.98,33.75,168.65,123,-251,292,9212,184.38,128.21,67.03,-10.86,245.56,111,-251,384,9201,184.51,108.8,64.23,11.48,229.08,104,-140,378,9015,166.21,79.78,57.21,29.22,188.78,116,-251,361,9040,0.92244898
173.04,143.77,72.61,-43.34,244.2,86,-234,371,8246,170.47,115.97,68.13,-13.63,218.31,118,-251,353,8125,150.83,61.15,49.67,40.01,162.31,132,-255,295,7880,187.7,147.05,72.24,-31.59,262.51,123,-255,377,8062,196.52,192.45,88.5,-84.43,300.47,20,-256,386,7964,163.29,129.09,63.86,-29.66,228.52,89,-177,384,7890,0.956827553
189.94,170.5,91.49,-72.05,268.95,53,-241,368,10047,178.4,138.65,79.84,-40.09,237.21,95,-252,354,9836,178.54,97.62,60.47,20.45,215.69,128,-256,395,9623,188.39,158.84,81.1,-51.55,266.13,99,-242,369,9771,195.3,175.46,90.72,-70.88,280.04,49,-255,366,10010,194.62,170.24,92.75,-68.37,272.11,81,-255,372,9676,0.963073554
183.47,144.87,79.48,-40.88,248.86,86,-228,370,12401,157.61,61.55,62.21,33.85,156.95,136,-260,331,12122,169.39,72.65,64.9,31.84,177.14,121,-255,308,11826,185.95,107.69,73.94,4.32,219.7,123,-235,352,11284,189.79,150.93,83.54,-44.68,257.18,74,-240,388,11446,173.67,100.22,65.09,8.36,208.8,133,-254,362,11831,0.954035965
166.52,148.5,74.6,-56.58,240.42,67,-251,366,10305,159.17,109.59,75.15,-25.57,193.61,94,-252,359,9966,133.68,65.48,58.87,9.33,140.29,81,-194,286,9808,149.73,103.87,60.63,-14.77,192.97,70,-251,372,9637,178.82,170.94,91.51,-83.63,258.25,47,-242,358,9837,190.23,184.31,104.99,-99.07,269.55,29,-251,371,9835,0.954391072
172.07,94.16,62.46,15.45,203.77,118,-241,354,7983,119.92,57.68,51.74,10.5,125.86,100,-239,310,7925,123.44,36.36,50.02,37.06,109.78,120,-138,239,7445,141.11,57.12,56.41,27.58,141.82,112,-255,285,7725,164.07,103.19,60.07,0.81,207.19,84,-251,365,7556,155.61,65.73,52.89,36.99,168.45,109,-246,331,7607,0.952899912
157.44,85.28,60.76,11.4,181.96,126,-251,313,5720,161.9,138.95,65.6,-42.65,235.25,78,-250,386,5664,148.96,55.77,54.59,38.6,150.14,97,-249,318,5802,159.26,72.13,56.36,30.77,175.03,105,-251,333,5355,170.72,120.55,66.88,-16.71,224.39,105,-199,384,5815,169.44,99.14,60.9,9.4,207.68,85,-237,339,5463,0.95506993
171.28,91.31,74.02,5.95,188.57,116,-241,377,9786,167.15,89.48,70.69,6.98,185.94,116,-248,326,9517,143.38,52.56,63.76,27.06,132.18,131,-175,306,9079,180.03,124.34,81.64,-25.95,222.73,132,-242,362,9252,190.07,154.51,89.15,-53.59,255.43,85,-251,368,9306,167.33,89.55,63.98,13.8,192.9,107,-196,372,8946,0.91416309
184.33,106.1,60.86,17.37,229.57,109,-251,348,11356,121.45,40.52,53.79,27.14,108.18,107,-226,295,10842,128.51,49.08,56.67,22.76,120.92,118,-239,287,10513,145.99,49.55,52.12,44.32,143.42,132,-254,295,10214,185.91,79.91,57.02,48.98,208.8,124,-156,333,10665,185.91,79.91,57.02,48.98,208.8,124,-156,333,10665,0.93915111
177.78,138.61,75.58,-36.41,240.81,110,-221,355,11418,175.16,109.46,79.39,-13.69,205.23,97,-241,323,11311,154.63,52.75,66.31,35.57,141.07,121,-254,272,11319,173.76,74.39,69.97,29.4,178.18,132,-195,354,11356,197.77,151.84,88.5,-42.57,261.11,96,-250,376,11096,191.45,157.25,82.46,-48.26,266.24,40,-245,368,11342,0.993343843
164.5,111.57,70.17,-17.24,205.9,106,-253,360,12678,176.45,161.25,82.32,-67.12,255.38,101,-247,347,12053,165.95,70.01,55.46,40.48,180.5,130,-251,319,12824,172.17,134.25,77.57,-39.65,228.85,128,-251,350,12064,185.69,154.46,85.18,-53.95,254.97,84,-247,353,12519,173.9,118.09,71,-15.19,220.99,100,-251,351,12414,0.979176526
178.33,166.11,80.88,-68.66,263.56,83,-242,363,12569,164.82,102.35,70.99,-8.52,196.18,112,-252,330,12386,170.24,101.56,68.35,0.33,203.45,102,-204,333,12188,172.84,101.88,72.11,-1.15,202.61,89,-225,343,12081,177.98,138.38,82.06,-42.46,234.3,95,-249,354,12157,193.18,184.08,101.28,-92.18,275.98,45,-251,373,12086,0.961572122
170.78,87.52,59.47,23.79,198.83,121,-251,381,14207,152.77,70.38,56.04,26.35,167.11,136,-248,335,13325,116.54,45.03,55.76,15.75,105.81,103,-253,276,14160,125.55,47.28,55.38,22.89,117.45,104,-223,323,13860,176.47,65.48,62.75,48.24,179.2,124,-140,316,14108,178.52,67.74,53.79,56.99,192.47,145,-237,327,14163,0.996902935
174.32,165.16,76.39,-67.23,263.09,64,-241,361,13105,151.16,68.83,64.14,18.19,155.85,117,-254,306,12866,162.45,88.97,62.46,11.02,188.96,111,-250,355,12863,173.06,90.86,64.1,18.1,199.82,123,-252,370,13088,177.29,107.57,69.45,0.27,215.41,123,-251,359,13327,175.65,111.29,69.74,-5.38,217.2,117,-237,350,13323,1.016634872
179.58,114.32,70.5,-5.24,223.4,140,-250,345,12371,167.23,115.1,72.62,-20.49,209.71,99,-225,352,12332,161.56,75.99,67.47,18.1,170.08,120,-242,358,11882,155.62,68.1,52.79,34.73,170.93,120,-190,349,11624,170.5,57.52,61.2,51.78,166.82,134,-244,323,12298,184.19,93.5,65.6,25.09,212.09,135,-236,362,12213,0.987228195
184.67,124.65,73.42,-13.4,235.9,109,-255,362,9203,177.61,132.87,80.46,-35.72,230.02,122,-249,347,8886,147.4,55.71,60.98,30.71,142.13,125,-240,314,8661,163.48,75.91,67.42,20.15,171.97,101,-243,375,8776,186.69,136.15,82.27,-31.73,240.57,101,-243,371,8767,196.67,150.3,83.49,-37.12,263.48,93,-243,363,8731,0.948712376
185.86,140.59,78.94,-33.67,247.51,120,-245,367,8825,168.64,85.49,71.16,11.99,182.97,128,-248,329,8617,157.86,52.97,56.2,48.69,154.63,126,-253,286,8378,168.62,71.02,57.29,40.31,182.35,134,-250,334,8595,189.55,155.12,91.91,-57.48,252.76,116,-247,367,8364,188.17,149.09,84.42,-45.34,252.84,92,-241,368,8560,0.969971671
179.42,130.54,71.97,-23.09,237.99,132,-247,373,11350,169.31,101.17,70.46,-2.32,200.02,110,-245,351,11115,161.32,69.6,59.75,31.97,171.17,134,-250,326,11224,172.74,91.8,67.61,13.33,196.93,118,-249,367,11442,194.42,153.59,86.14,-45.31,261.87,66,-237,362,10970,174.81,82.71,62.5,29.6,195.02,132,-249,337,11425,1.00660793
189.55,163.43,82.9,-56.78,270.08,97,-242,371,9522,179.08,97.22,63.81,18.05,212.49,143,-246,354,9377,163.82,71.87,61.85,30.1,173.84,137,-248,379,9303,187.95,124.7,77.02,-13.77,235.63,165,-224,371,9288,199.74,149.72,87.53,-37.51,261.93,84,-242,363,9376,191.4,79.75,67.45,44.2,203.7,157,-251,358,9198,0.965973535
172.25,94.32,67.33,10.6,199.24,126,-186,359,10436,172.94,127.35,73.59,-28,226.7,101,-237,387,10194,146.8,63.15,55.4,28.25,154.55,107,-217,345,9825,173.38,84.53,72.09,16.76,185.82,121,-247,349,10070,191.24,147.89,86.08,-42.73,253.05,108,-242,368,9758,180.39,97.69,65.07,17.63,213.01,117,-207,339,10120,0.969720199
178.53,85.27,65.3,27.96,198.5,138,-247,364,14271,181.67,169.55,83.53,-71.41,267.69,75,-250,378,13389,180.6,86.64,63.92,30.04,203.32,146,-248,380,14029,179.88,111.14,67.4,1.34,223.62,128,-239,392,13430,180.83,116.2,71.83,-7.2,225.2,126,-239,359,13199,185.86,118.74,74.63,-7.51,229.97,122,-247,357,13560,0.950178684
184.1,167.96,79.5,-63.36,272.56,97,-247,393,9732,153.98,78.98,67.78,7.22,165.18,131,-243,315,9544,156.8,76.17,54.69,25.94,178.28,126,-244,324,9395,159.13,86.31,62.35,10.47,183.09,110,-224,360,9048,181.35,143.73,85.14,-47.52,239.94,108,-241,369,9064,184.63,144.56,81.58,-41.51,247.61,89,-235,365,9542,0.980476778
177.49,100.48,66.42,10.59,211.55,135,-254,364,10399,153.59,65.68,62.53,25.38,156.74,130,-249,323,9931,141.68,45.78,48.69,47.21,138.77,118,-254,296,9674,162.2,56.44,52.41,53.35,166.23,144,-255,288,10360,187.29,100.36,62.67,24.26,224.98,124,-254,344,10115,188.91,102.91,66.63,19.37,225.19,116,-254,387,9977,0.959419175
164.39,164.52,76.27,-76.4,252.64,41,-255,356,11004,173.35,143.64,87.53,-57.82,229.46,50,-250,339,10514,165.98,115.02,68.41,-17.45,212.59,84,-214,348,9814,170.73,131.67,76,-36.94,226.4,62,-223,337,9910,156.05,154.91,75.14,-74,235.82,50,-254,350,11157,177.68,187.93,84.24,-94.49,281.37,1,-254,357,10046,0.912940749
188.94,158.82,81.46,-51.34,266.3,105,-243,376,10142,165.95,76.08,64.47,25.4,177.56,133,-258,312,9477,164.22,59.94,58.45,45.83,165.71,146,-255,317,9449,184.19,97,69.52,17.67,211.67,118,-188,348,9658,193.26,147.71,92.3,-46.75,248.67,106,-249,375,9869,181.84,93.31,64.29,24.24,210.86,132,-242,364,9752,0.961546046
180.96,168.38,81.2,-68.62,268.14,119,-254,370,9683,174.47,166.52,80.59,-72.64,260.4,79,-253,369,9539,159.56,81.31,55.44,22.81,185.43,130,-255,385,9253,172.59,99.59,67.98,5.02,204.2,126,-255,353,9488,188.75,197.14,87.41,-95.8,298.48,34,-254,360,9354,189.81,171.58,85.18,-66.95,276.21,54,-251,375,9399,0.970670247
190.69,148.33,86.02,-43.66,253,127,-254,356,8621,168.83,82.11,56.46,30.26,194.48,130,-208,359,8794,166.6,61.68,56.41,48.51,171.87,137,-254,324,8298,168.73,64.21,55.56,48.96,177.38,133,-185,293,8285,190.04,127.61,79.01,-16.58,238.64,123,-249,348,8072,191.86,142.13,84.15,-34.42,249.84,96,-241,378,8313,0.964273286
197.8,137.87,64.51,-4.58,271.16,90,-249,381,14238,161.26,81.73,48.62,30.91,194.37,160,-254,338,13506,156.13,52.23,51.34,52.56,157.02,132,-217,313,13692,155.25,56.27,44.58,54.4,166.94,155,-255,357,13587,191.24,111.38,56.36,23.5,246.26,141,-205,387,13583,193.62,113.2,52.56,27.86,254.26,124,-211,375,13743,0.965233881
180.49,95.52,62.4,22.57,213.61,143,-253,368,12059,166.16,77.11,62.39,26.66,180.88,144,-250,353,12152,127.29,38.4,48.83,40.06,116.86,125,-254,291,11855,168.83,72.64,57.94,38.25,183.53,129,-250,370,11600,194.3,109.76,62.66,21.88,241.4,111,-245,359,11913,157.87,57.41,53.74,46.72,161.54,144,-250,373,11835,0.981424662
200.99,151.31,79.24,-29.56,273.06,97,-179,408,10823,185.71,142.74,82.31,-39.34,246.14,100,-243,370,10508,193.25,92.92,68.54,31.79,217.63,130,-167,366,10792,196.64,110.02,74.1,12.52,232.56,121,-245,361,10784,198.42,98.24,74.53,25.65,222.13,139,-205,365,10984,191.3,99.87,66.08,25.35,225.09,146,-241,371,10822,0.999907604
185.72,123.84,69.86,-7.98,239.7,122,-228,393,11471,178.79,100.29,67.57,10.93,211.51,130,-250,359,10966,164.22,57.77,58.53,47.92,163.46,131,-253,336,11007,182.82,85.02,58.37,39.43,209.47,136,-253,340,11062,192.9,125.64,67.66,-0.4,250.88,94,-180,393,11227,195.39,136.82,74.79,-16.22,257.42,107,-223,371,10777,0.939499608
184.61,148.88,83.83,-48.1,249.66,77,-241,345,9783,178.8,176.26,87.41,-84.87,267.65,12,-211,356,9756,166.03,102.06,65.38,-1.41,202.71,102,-247,379,9850,170.02,136.45,76.38,-42.81,230.09,90,-247,361,9500,183.1,178.5,90.16,-85.56,271.44,53,-217,367,9680,179.82,162.79,85.4,-68.37,257.21,53,-249,359,9734,0.994991311
160.95,79.91,62.01,19.03,178.85,118,-239,356,11160,168.32,102.27,67.48,-1.43,203.11,136,-208,357,11039,173.76,66.72,57.62,49.42,182.86,137,-167,292,10640,184.91,99.52,58.18,27.21,226.25,126,-254,346,11154,167.92,68.09,60.11,39.72,175.9,128,-180,337,10166,151.61,56.9,58.09,36.62,150.42,144,-219,321,11018,0.987275986
178.11,123.07,60.41,-5.37,240.77,105,-217,376,10041,165.32,76.42,56.12,32.78,185.62,129,-194,354,9880,132.83,46.57,53.31,32.95,126.09,99,-240,266,9395,161.16,76.22,53.15,31.79,184.23,143,-200,349,9851,185.6,99.05,58.69,27.86,225.96,125,-241,341,9315,185.75,107.43,58.03,20.29,235.15,113,-148,351,9766,0.97261229
185.38,141.12,77.19,-32.93,249.31,108,-252,360,9240,185.25,148.21,85.24,-48.2,248.22,103,-246,343,8908,177.09,89.59,56.87,30.63,209.81,114,-254,326,8939,190.25,153.63,82.55,-45.93,261.33,102,-251,356,8662,191.41,184.9,85.59,-79.08,290.72,46,-252,374,8911,186.7,119.74,68.13,-1.17,238.31,110,-251,363,8639,0.93495671
