,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 6th_size, height/area
88,171.3,179.54,81.27,-89.51,269.57,6965,162.33,163.37,71.44,-72.48,254.26,6864,169.31,144.78,69.37,-44.84,244.72,6894,169.42,176.44,73.09,-80.11,272.77,6771,170.61,171.76,75.99,-77.14,266.38,6483,174.84,168.97,79.24,-73.37,264.57,6647,0.954343144292893
89,165.15,146.36,66.14,-47.35,245.37,10742,168.97,117.57,65.26,-13.86,221.28,9971,173.46,102.85,56.15,14.46,220.16,10039,184.95,135.15,70.05,-20.25,250.05,10230,177.83,159.68,70.81,-52.66,266.7,10274,166.66,112.74,54.4,-0.48,225.0,10119,0.9420033513312231
90,164.78,83.38,55.36,26.04,192.8,13482,174.49,107.71,55.95,10.83,226.25,12758,153.93,50.78,43.49,59.66,161.22,13072,167.97,58.58,41.1,68.29,185.45,12414,192.36,112.47,55.54,24.35,249.29,12940,161.86,45.13,45.01,71.72,161.98,12958,0.9611333630025218
91,154.73,146.66,62.23,-54.16,239.16,6481,141.83,89.18,54.13,-1.48,176.88,6471,136.82,89.41,41.88,5.53,184.35,6134,148.53,120.07,49.02,-20.56,219.58,6276,164.47,158.34,59.12,-52.99,263.69,6061,152.33,115.09,51.53,-14.29,215.89,6456,0.9961425705909582
92,180.76,159.96,77.04,-56.24,263.68,9558,165.96,128.39,68.85,-31.28,225.5,9360,144.22,39.57,32.5,72.15,151.29,9018,174.53,139.58,71.45,-36.5,242.66,9568,191.37,181.63,89.64,-79.9,283.36,9148,169.4,113.82,58.63,-3.05,224.59,9340,0.9771918811466834
93,177.23,142.87,63.69,-29.33,256.41,10875,164.53,101.37,62.08,1.08,203.82,10578,149.58,45.3,41.71,62.57,153.17,10437,188.97,131.3,69.28,-11.61,250.99,10510,188.15,157.75,75.38,-44.98,270.52,10686,156.22,59.04,50.77,46.41,164.49,10485,0.9641379310344828
94,167.76,127.57,69.91,-29.72,225.42,8699,145.28,81.69,48.58,15.01,178.39,8513,130.67,47.87,38.51,44.29,140.03,8159,172.24,111.69,63.77,-3.22,220.16,7991,180.41,136.95,73.51,-30.05,243.85,8152,137.45,47.91,34.76,54.78,150.6,8035,0.923669387285895
95,166.62,146.18,65.48,-45.04,247.32,9437,150.24,80.74,52.16,17.34,178.82,9154,157.32,83.2,46.3,27.82,194.22,8743,164.71,142.3,56.39,-33.98,250.62,9237,162.46,154.25,63.22,-55.01,253.49,8772,162.17,114.56,53.82,-6.21,222.91,9535,1.0103846561407226
96,184.62,145.68,69.46,-30.52,260.84,14192,172.87,120.42,63.94,-11.49,229.35,13266,147.69,49.78,41.75,56.16,155.72,13956,188.5,113.14,63.15,12.21,238.49,13688,196.55,156.61,77.84,-37.9,275.32,13653,173.18,92.93,53.7,26.55,212.41,14121,0.9949971815107104
97,170.59,117.14,51.49,1.96,236.24,7742,141.17,57.77,38.92,44.48,160.02,7811,123.8,19.29,32.29,72.22,110.8,7166,172.32,120.17,53.44,-1.29,239.05,7232,185.34,138.8,51.59,-5.05,272.55,6982,129.88,25.19,31.51,73.18,123.56,7445,0.961637819684836
98,177.85,170.03,62.11,-54.29,285.77,9169,165.98,152.65,67.11,-53.78,251.52,9007,178.83,85.68,50.41,42.74,214.1,9533,176.72,168.93,72.16,-64.37,273.49,8947,178.76,177.39,80.94,-79.57,275.21,9217,175.21,98.75,52.64,23.82,221.32,9193,1.0026175155414985
99,184.51,102.58,61.79,20.14,225.3,14863,172.17,74.09,70.02,28.06,176.24,13998,143.67,52.1,67.54,24.03,128.23,14600,144.78,54.45,59.62,30.71,139.61,14765,197.95,104.26,62.44,31.25,239.77,14570,183.75,75.54,58.78,49.43,200.51,14753,0.9925990715198816
100,167.17,129.97,71.69,-34.49,225.45,8361,139.25,64.92,60.88,13.45,143.29,8321,132.69,62.8,52.1,17.79,143.39,8020,172.26,102.39,64.67,5.2,209.98,7988,181.95,131.07,77.17,-26.29,235.85,8281,155.47,81.21,58.84,15.42,177.84,8038,0.9613682573854802
101,179.36,122.18,73.64,-16.46,227.9,8515,178.16,108.57,69.16,0.43,217.57,8424,141.04,50.44,51.5,39.1,139.98,8345,174.3,83.47,56.14,34.69,201.63,8159,202.64,165.27,95.61,-58.24,272.3,8260,182.44,114.46,72.35,-4.37,224.55,8445,0.991779213153259
102,165.73,101.8,68.9,-4.97,198.63,8938,170.75,120.75,84.76,-34.76,206.74,8549,145.07,55.94,55.76,33.37,145.25,8497,154.36,76.94,58.29,19.13,173.01,8660,188.48,132.21,81.85,-25.58,238.84,8323,176.36,94.99,66.08,15.29,205.27,9011,1.0081673752517342
103,171.08,103.45,71.82,-4.19,202.71,9426,155.75,69.06,63.84,22.85,160.97,9260,158.06,60.06,58.87,39.13,159.25,9050,182.46,118.92,74.46,-10.92,226.92,9047,173.07,107.22,70.36,-4.51,209.93,8945,151.72,61.02,57.14,33.56,155.6,8938,0.9482283046891576
104,170.61,109.81,73.21,-12.41,207.21,13004,178.32,157.15,82.34,-61.17,253.13,12595,163.88,66.27,61.97,35.64,168.18,12814,176.56,77.03,70.21,29.32,183.38,12755,184.1,106.87,74.66,2.57,216.31,12534,184.12,140.05,77.24,-33.17,246.93,12913,0.9930021531836358
105,170.01,122.09,65.08,-17.16,227.02,9800,183.34,119.99,67.96,-4.61,235.37,9733,164.18,67.45,62.98,33.75,168.65,9212,184.38,128.21,67.03,-10.86,245.56,9201,184.51,108.8,64.23,11.48,229.08,9015,166.21,79.78,57.21,29.22,188.78,9040,0.9224489795918368
106,173.04,143.77,72.61,-43.34,244.2,8246,170.47,115.97,68.13,-13.63,218.31,8125,150.83,61.15,49.67,40.01,162.31,7880,187.7,147.05,72.24,-31.59,262.51,8062,196.52,192.45,88.5,-84.43,300.47,7964,163.29,129.09,63.86,-29.66,228.52,7890,0.95682755275285
107,189.94,170.5,91.49,-72.05,268.95,10047,178.4,138.65,79.84,-40.09,237.21,9836,178.54,97.62,60.47,20.45,215.69,9623,188.39,158.84,81.1,-51.55,266.13,9771,195.3,175.46,90.72,-70.88,280.04,10010,194.62,170.24,92.75,-68.37,272.11,9676,0.9630735542948144
108,183.47,144.87,79.48,-40.88,248.86,12401,157.61,61.55,62.21,33.85,156.95,12122,169.39,72.65,64.9,31.84,177.14,11826,185.95,107.69,73.94,4.32,219.7,11284,189.79,150.93,83.54,-44.68,257.18,11446,173.67,100.22,65.09,8.36,208.8,11831,0.9540359648415452
109,166.52,148.5,74.6,-56.58,240.42,10305,159.17,109.59,75.15,-25.57,193.61,9966,133.68,65.48,58.87,9.33,140.29,9808,149.73,103.87,60.63,-14.77,192.97,9637,178.82,170.94,91.51,-83.63,258.25,9837,190.23,184.31,104.99,-99.07,269.55,9835,0.9543910722950024
110,172.07,94.16,62.46,15.45,203.77,7983,119.92,57.68,51.74,10.5,125.86,7925,123.44,36.36,50.02,37.06,109.78,7445,141.11,57.12,56.41,27.58,141.82,7725,164.07,103.19,60.07,0.81,207.19,7556,155.61,65.73,52.89,36.99,168.45,7607,0.9528999123136666
111,157.44,85.28,60.76,11.4,181.96,5720,161.9,138.95,65.6,-42.65,235.25,5664,148.96,55.77,54.59,38.6,150.14,5802,159.26,72.13,56.36,30.77,175.03,5355,170.72,120.55,66.88,-16.71,224.39,5815,169.44,99.14,60.9,9.4,207.68,5463,0.95506993006993
112,171.28,91.31,74.02,5.95,188.57,9786,167.15,89.48,70.69,6.98,185.94,9517,143.38,52.56,63.76,27.06,132.18,9079,180.03,124.34,81.64,-25.95,222.73,9252,190.07,154.51,89.15,-53.59,255.43,9306,167.33,89.55,63.98,13.8,192.9,8946,0.9141630901287554
113,184.33,106.1,60.86,17.37,229.57,11356,121.45,40.52,53.79,27.14,108.18,10842,128.51,49.08,56.67,22.76,120.92,10513,145.99,49.55,52.12,44.32,143.42,10214,185.91,79.91,57.02,48.98,208.8,10665,185.91,79.91,57.02,48.98,208.8,10665,0.9391511095456146
114,177.78,138.61,75.58,-36.41,240.81,11418,175.16,109.46,79.39,-13.69,205.23,11311,154.63,52.75,66.31,35.57,141.07,11319,173.76,74.39,69.97,29.4,178.18,11356,197.77,151.84,88.5,-42.57,261.11,11096,191.45,157.25,82.46,-48.26,266.24,11342,0.9933438430548256
115,164.5,111.57,70.17,-17.24,205.9,12678,176.45,161.25,82.32,-67.12,255.38,12053,165.95,70.01,55.46,40.48,180.5,12824,172.17,134.25,77.57,-39.65,228.85,12064,185.69,154.46,85.18,-53.95,254.97,12519,173.9,118.09,71.0,-15.19,220.99,12414,0.9791765262659724
116,178.33,166.11,80.88,-68.66,263.56,12569,164.82,102.35,70.99,-8.52,196.18,12386,170.24,101.56,68.35,0.33,203.45,12188,172.84,101.88,72.11,-1.15,202.61,12081,177.98,138.38,82.06,-42.46,234.3,12157,193.18,184.08,101.28,-92.18,275.98,12086,0.9615721218871828
117,170.78,87.52,59.47,23.79,198.83,14207,152.77,70.38,56.04,26.35,167.11,13325,116.54,45.03,55.76,15.75,105.81,14160,125.55,47.28,55.38,22.89,117.45,13860,176.47,65.48,62.75,48.24,179.2,14108,178.52,67.74,53.79,56.99,192.47,14163,0.9969029351728022
118,174.32,165.16,76.39,-67.23,263.09,13105,151.16,68.83,64.14,18.19,155.85,12866,162.45,88.97,62.46,11.02,188.96,12863,173.06,90.86,64.1,18.1,199.82,13088,177.29,107.57,69.45,0.27,215.41,13327,175.65,111.29,69.74,-5.38,217.2,13323,1.0166348721861884
119,179.58,114.32,70.5,-5.24,223.4,12371,167.23,115.1,72.62,-20.49,209.71,12332,161.56,75.99,67.47,18.1,170.08,11882,155.62,68.1,52.79,34.73,170.93,11624,170.5,57.52,61.2,51.78,166.82,12298,184.19,93.5,65.6,25.09,212.09,12213,0.9872281949721122
120,184.67,124.65,73.42,-13.4,235.9,9203,177.61,132.87,80.46,-35.72,230.02,8886,147.4,55.71,60.98,30.71,142.13,8661,163.48,75.91,67.42,20.15,171.97,8776,186.69,136.15,82.27,-31.73,240.57,8767,196.67,150.3,83.49,-37.12,263.48,8731,0.9487123763990004
121,185.86,140.59,78.94,-33.67,247.51,8825,168.64,85.49,71.16,11.99,182.97,8617,157.86,52.97,56.2,48.69,154.63,8378,168.62,71.02,57.29,40.31,182.35,8595,189.55,155.12,91.91,-57.48,252.76,8364,188.17,149.09,84.42,-45.34,252.84,8560,0.969971671388102
122,179.42,130.54,71.97,-23.09,237.99,11350,169.31,101.17,70.46,-2.32,200.02,11115,161.32,69.6,59.75,31.97,171.17,11224,172.74,91.8,67.61,13.33,196.93,11442,194.42,153.59,86.14,-45.31,261.87,10970,174.81,82.71,62.5,29.6,195.02,11425,1.0066079295154184
123,189.55,163.43,82.9,-56.78,270.08,9522,179.08,97.22,63.81,18.05,212.49,9377,163.82,71.87,61.85,30.1,173.84,9303,187.95,124.7,77.02,-13.77,235.63,9288,199.74,149.72,87.53,-37.51,261.93,9376,191.4,79.75,67.45,44.2,203.7,9198,0.9659735349716446
124,172.25,94.32,67.33,10.6,199.24,10436,172.94,127.35,73.59,-28.0,226.7,10194,146.8,63.15,55.4,28.25,154.55,9825,173.38,84.53,72.09,16.76,185.82,10070,191.24,147.89,86.08,-42.73,253.05,9758,180.39,97.69,65.07,17.63,213.01,10120,0.9697201993100804
125,178.53,85.27,65.3,27.96,198.5,14271,181.67,169.55,83.53,-71.41,267.69,13389,180.6,86.64,63.92,30.04,203.32,14029,179.88,111.14,67.4,1.34,223.62,13430,180.83,116.2,71.83,-7.2,225.2,13199,185.86,118.74,74.63,-7.51,229.97,13560,0.950178684044566
126,184.1,167.96,79.5,-63.36,272.56,9732,153.98,78.98,67.78,7.22,165.18,9544,156.8,76.17,54.69,25.94,178.28,9395,159.13,86.31,62.35,10.47,183.09,9048,181.35,143.73,85.14,-47.52,239.94,9064,184.63,144.56,81.58,-41.51,247.61,9542,0.9804767776407728
127,177.49,100.48,66.42,10.59,211.55,10399,153.59,65.68,62.53,25.38,156.74,9931,141.68,45.78,48.69,47.21,138.77,9674,162.2,56.44,52.41,53.35,166.23,10360,187.29,100.36,62.67,24.26,224.98,10115,188.91,102.91,66.63,19.37,225.19,9977,0.9594191749206654
128,164.39,164.52,76.27,-76.4,252.64,11004,173.35,143.64,87.53,-57.82,229.46,10514,165.98,115.02,68.41,-17.45,212.59,9814,170.73,131.67,76.0,-36.94,226.4,9910,156.05,154.91,75.14,-74.0,235.82,11157,177.68,187.93,84.24,-94.49,281.37,10046,0.9129407488186114
129,188.94,158.82,81.46,-51.34,266.3,10142,165.95,76.08,64.47,25.4,177.56,9477,164.22,59.94,58.45,45.83,165.71,9449,184.19,97.0,69.52,17.67,211.67,9658,193.26,147.71,92.3,-46.75,248.67,9869,181.84,93.31,64.29,24.24,210.86,9752,0.9615460461447446
130,180.96,168.38,81.2,-68.62,268.14,9683,174.47,166.52,80.59,-72.64,260.4,9539,159.56,81.31,55.44,22.81,185.43,9253,172.59,99.59,67.98,5.02,204.2,9488,188.75,197.14,87.41,-95.8,298.48,9354,189.81,171.58,85.18,-66.95,276.21,9399,0.9706702468243312
131,190.69,148.33,86.02,-43.66,253.0,8621,168.83,82.11,56.46,30.26,194.48,8794,166.6,61.68,56.41,48.51,171.87,8298,168.73,64.21,55.56,48.96,177.38,8285,190.04,127.61,79.01,-16.58,238.64,8072,191.86,142.13,84.15,-34.42,249.84,8313,0.9642732861616982
132,197.8,137.87,64.51,-4.58,271.16,14238,161.26,81.73,48.62,30.91,194.37,13506,156.13,52.23,51.34,52.56,157.02,13692,155.25,56.27,44.58,54.4,166.94,13587,191.24,111.38,56.36,23.5,246.26,13583,193.62,113.2,52.56,27.86,254.26,13743,0.9652338811630848
133,180.49,95.52,62.4,22.57,213.61,12059,166.16,77.11,62.39,26.66,180.88,12152,127.29,38.4,48.83,40.06,116.86,11855,168.83,72.64,57.94,38.25,183.53,11600,194.3,109.76,62.66,21.88,241.4,11913,157.87,57.41,53.74,46.72,161.54,11835,0.981424662078116
134,200.99,151.31,79.24,-29.56,273.06,10823,185.71,142.74,82.31,-39.34,246.14,10508,193.25,92.92,68.54,31.79,217.63,10792,196.64,110.02,74.1,12.52,232.56,10784,198.42,98.24,74.53,25.65,222.13,10984,191.3,99.87,66.08,25.35,225.09,10822,0.9999076041762912
135,185.72,123.84,69.86,-7.98,239.7,11471,178.79,100.29,67.57,10.93,211.51,10966,164.22,57.77,58.53,47.92,163.46,11007,182.82,85.02,58.37,39.43,209.47,11062,192.9,125.64,67.66,-0.4,250.88,11227,195.39,136.82,74.79,-16.22,257.42,10777,0.93949960770639
136,184.61,148.88,83.83,-48.1,249.66,9783,178.8,176.26,87.41,-84.87,267.65,9756,166.03,102.06,65.38,-1.41,202.71,9850,170.02,136.45,76.38,-42.81,230.09,9500,183.1,178.5,90.16,-85.56,271.44,9680,179.82,162.79,85.4,-68.37,257.21,9734,0.9949913114586528
137,160.95,79.91,62.01,19.03,178.85,11160,168.32,102.27,67.48,-1.43,203.11,11039,173.76,66.72,57.62,49.42,182.86,10640,184.91,99.52,58.18,27.21,226.25,11154,167.92,68.09,60.11,39.72,175.9,10166,151.61,56.9,58.09,36.62,150.42,11018,0.9872759856630824
138,178.11,123.07,60.41,-5.37,240.77,10041,165.32,76.42,56.12,32.78,185.62,9880,132.83,46.57,53.31,32.95,126.09,9395,161.16,76.22,53.15,31.79,184.23,9851,185.6,99.05,58.69,27.86,225.96,9315,185.75,107.43,58.03,20.29,235.15,9766,0.9726122896125884
139,185.38,141.12,77.19,-32.93,249.31,9240,185.25,148.21,85.24,-48.2,248.22,8908,177.09,89.59,56.87,30.63,209.81,8939,190.25,153.63,82.55,-45.93,261.33,8662,191.41,184.9,85.59,-79.08,290.72,8911,186.7,119.74,68.13,-1.17,238.31,8639,0.93495670995671
140,177.4,162.37,70.72,-55.69,269.05,12044,157.16,61.85,56.33,38.98,162.68,11927,162.05,72.31,55.21,34.53,179.15,11463,167.8,87.23,60.15,20.42,194.88,11380,188.06,154.74,80.31,-46.99,262.49,11416,185.96,163.16,82.23,-59.43,266.89,11688,0.9704417137163732
141,201.34,181.8,81.83,-62.29,301.31,10250,176.68,76.65,52.16,47.87,201.17,10044,187.48,134.2,72.81,-19.53,248.87,9923,183.38,122.13,56.9,4.35,248.61,9710,193.52,151.85,70.21,-28.54,275.16,9682,193.14,166.17,77.78,-50.81,281.53,10113,0.9866341463414634
142,179.81,169.88,71.65,-61.72,278.04,9773,180.6,170.97,82.64,-73.01,268.93,9181,182.56,101.65,62.14,18.77,222.07,8892,182.7,165.41,73.27,-55.98,274.84,9286,186.64,188.53,92.56,-94.45,282.61,8918,179.14,163.96,73.9,-58.72,269.2,9607,0.9830144275043488
143,189.58,146.62,67.49,-24.53,268.71,11101,191.44,170.06,81.14,-59.76,280.36,10671,198.99,125.6,61.88,11.51,262.71,10992,194.2,137.72,68.0,-11.52,263.92,10585,187.45,123.01,63.26,1.18,247.2,11038,193.81,157.29,78.27,-41.75,272.83,10555,0.9508152418701018
144,181.05,143.91,63.96,-26.82,261.0,13121,176.54,149.9,70.85,-44.21,255.59,12646,172.48,71.59,58.21,42.68,185.86,13023,177.58,136.25,57.78,-16.45,256.05,12887,192.92,180.52,76.35,-63.95,297.09,12800,194.24,162.41,68.9,-37.07,287.75,12912,0.9840713360262175
145,92.37,75.18,38.15,-20.96,129.4,23530,69.45,63.96,33.01,-27.52,100.4,28474,190.74,110.01,67.21,13.52,233.54,10717,183.15,141.29,76.64,-34.78,247.8,11176,195.37,152.88,80.81,-38.32,267.44,10842,188.6,167.03,81.52,-59.95,274.11,10790,0.4585635359116022
146,47.24,41.77,20.81,-15.34,68.2,46244,173.19,119.63,66.11,-12.55,226.71,10928,177.07,94.03,59.02,24.02,212.08,10392,176.47,146.85,77.23,-47.61,246.09,10996,185.02,154.45,76.71,-46.14,262.76,11006,187.02,85.92,59.66,41.44,213.28,10330,0.2233803304212438
147,184.55,184.43,78.74,-78.62,290.24,9080,163.1,87.28,63.27,12.55,187.11,9050,174.38,117.31,61.47,-4.4,230.22,8358,158.0,133.26,68.67,-43.93,222.59,9657,99.99,82.93,43.51,-26.45,139.41,16624,39.38,37.17,16.83,-14.62,59.72,42017,4.627422907488987
148,170.24,129.78,67.02,-26.56,233.0,12291,187.51,158.08,77.76,-48.33,267.83,11252,182.95,106.15,60.88,15.92,228.22,11035,190.22,143.73,72.92,-26.43,261.03,10596,191.89,179.45,81.87,-69.43,289.47,10619,187.42,154.5,74.14,-41.22,267.78,10745,0.8742169066796843
149,142.5,120.51,55.33,-33.34,207.68,13950,165.49,87.06,61.04,17.39,191.51,10573,155.17,67.07,45.82,42.28,176.42,10353,179.47,108.63,61.7,9.14,226.4,10587,102.71,96.54,50.19,-44.02,149.06,20492,183.08,133.49,67.95,-18.36,248.62,10457,0.7496057347670251
150,134.14,68.6,52.37,13.17,150.37,10714,146.74,95.99,51.15,-0.4,191.58,10827,118.23,35.24,36.29,46.7,117.18,10243,150.34,76.74,46.19,27.41,180.89,9817,163.6,94.7,52.42,16.48,205.88,9845,118.74,32.33,34.31,52.1,116.76,9953,0.9289714392383795
151,146.88,84.79,52.66,9.43,179.01,11106,147.49,55.95,51.84,39.7,151.6,10820,113.73,33.86,43.87,36.0,103.72,10282,160.33,72.09,52.8,35.44,179.62,10271,176.2,117.71,64.62,-6.13,229.29,10222,110.08,29.07,38.93,42.08,100.22,10214,0.9196830542049342
152,129.1,54.23,47.13,27.74,136.2,13164,174.71,107.7,65.31,1.7,217.1,12644,116.72,36.0,45.72,35.0,107.0,11996,155.03,55.46,47.13,52.44,163.36,12308,168.32,74.68,41.96,51.68,201.04,12408,133.43,45.29,44.51,43.63,134.21,11688,0.8878760255241568
153,166.24,146.15,71.89,-51.8,240.5,11366,150.75,111.41,67.3,-27.96,194.86,11119,125.33,40.5,35.17,49.66,130.66,10882,176.6,149.0,74.79,-47.19,250.81,10565,178.6,177.59,78.99,-77.98,277.2,10731,143.11,73.41,46.45,23.25,170.07,10827,0.9525778638043289
154,167.15,110.42,58.07,-1.34,219.5,12269,153.23,105.94,64.32,-17.03,194.85,11832,145.7,52.72,47.57,45.41,150.85,11841,173.91,109.81,65.4,-1.3,218.32,12309,151.47,59.52,50.33,41.62,160.66,12039,157.14,66.25,45.17,45.72,178.22,11568,0.9428641291058766
155,178.44,109.29,63.78,5.37,223.95,11331,142.15,49.69,55.37,37.09,136.47,10893,125.16,36.95,42.14,46.07,119.97,10302,193.58,98.68,57.92,36.98,234.34,10111,190.43,95.9,53.89,40.64,232.44,10227,112.47,33.73,42.32,36.42,103.88,10274,0.9067160886064778
156,152.3,79.66,54.21,18.43,177.75,11230,159.38,115.59,69.68,-25.89,205.29,10796,123.07,35.95,36.83,50.29,122.19,10817,152.72,70.7,44.82,37.2,178.6,10599,176.86,133.27,68.83,-25.24,241.3,10721,123.4,37.97,38.0,47.43,123.37,11081,0.9867319679430098
157,149.35,79.77,53.93,15.65,175.19,11419,139.05,71.9,57.84,9.31,153.11,11098,107.47,36.49,40.11,30.87,103.85,10977,133.84,55.21,48.62,30.01,140.43,10609,176.76,125.01,68.15,-16.4,233.62,10951,127.37,43.61,40.77,42.99,130.21,11079,0.9702250634906734
158,156.47,86.84,55.6,14.03,187.71,10945,161.32,112.59,69.37,-20.64,204.54,10230,133.98,41.01,39.49,53.48,135.5,10054,171.59,102.15,57.02,12.42,216.72,10259,168.46,92.75,56.19,19.52,205.02,10353,129.4,38.18,40.3,50.92,127.28,10680,0.9757880310644128
159,180.27,151.44,67.77,-38.94,263.94,12121,169.02,104.16,69.94,-5.08,203.24,11847,176.03,112.39,63.53,0.11,224.89,12471,186.05,156.33,74.17,-44.45,268.21,11899,188.03,160.7,86.73,-59.4,262.0,12020,181.17,119.12,68.98,-6.93,231.31,11863,0.9787146275059814
160,179.77,112.8,49.74,17.23,242.83,10718,124.16,44.55,40.17,39.44,128.54,10416,132.56,43.3,40.12,49.14,135.74,10131,120.77,33.18,40.0,47.59,113.95,10252,113.79,31.51,41.75,40.53,103.55,9901,128.7,37.38,43.45,47.87,122.63,10449,0.97490203396156
161,171.4,106.23,50.86,14.31,226.77,13913,105.86,42.8,52.03,11.03,96.63,13279,108.02,34.79,44.02,29.21,98.79,12987,132.9,45.98,49.87,37.05,129.01,13045,141.01,54.58,44.27,42.16,151.32,13176,111.61,38.27,45.52,27.82,104.36,13204,0.9490404657514556
162,173.0,148.65,77.78,-53.43,243.87,10711,159.89,127.19,67.94,-35.24,219.14,10482,146.18,83.97,53.2,9.01,176.95,10253,163.45,119.13,63.42,-19.1,219.16,9982,180.2,167.36,73.5,-60.66,274.06,10213,165.29,103.22,61.31,0.76,207.2,10338,0.9651759873027728
163,165.09,109.05,64.66,-8.62,209.48,11330,174.61,138.58,76.9,-40.87,236.29,11356,135.93,51.78,45.31,38.84,142.4,10987,162.07,87.24,58.23,16.6,191.08,11048,190.62,140.62,73.76,-23.76,257.48,10710,172.66,99.92,62.4,10.34,210.18,10752,0.9489849955869374
164,183.78,136.24,53.32,-5.78,266.7,11562,112.18,38.23,45.27,28.68,105.14,11147,128.49,41.3,46.79,40.4,123.0,10877,150.58,59.51,47.08,43.99,163.01,11062,143.7,56.93,45.38,41.39,155.25,10857,126.82,42.39,43.89,40.54,125.32,10573,0.9144611658882548
165,183.2,165.44,81.73,-63.97,266.91,13513,151.75,64.57,50.13,37.05,166.19,12492,160.53,62.19,48.32,50.02,174.4,12900,184.26,127.38,63.48,-6.6,248.16,12781,189.91,132.22,68.48,-10.79,253.65,12425,153.33,63.63,48.63,41.07,168.33,12471,0.9228890697846518
166,194.15,137.43,51.68,5.04,279.9,13424,133.2,45.84,46.29,41.07,132.75,12769,147.26,50.08,44.6,52.58,152.74,13438,138.24,49.0,48.37,40.87,138.87,12996,189.41,83.04,45.45,60.92,227.0,13615,168.56,62.92,43.75,61.89,187.73,13004,0.9687127532777116
167,180.37,170.49,80.54,-70.66,270.32,12504,155.32,114.94,69.26,-28.88,201.0,12557,160.32,83.56,53.89,22.87,189.99,11780,170.22,114.74,64.47,-8.99,220.49,12015,179.76,166.72,75.07,-62.03,271.41,11888,172.79,105.09,65.64,2.06,212.24,12226,0.9777671145233524
168,169.53,122.2,64.34,-17.01,227.39,12318,148.21,88.6,62.08,-2.47,174.73,11780,139.03,46.6,49.0,43.43,136.63,11902,154.59,71.33,54.95,28.31,170.97,11496,181.63,155.61,75.57,-49.55,261.67,11753,159.12,79.46,47.06,32.6,191.52,11918,0.9675271959733724
169,183.04,144.86,68.47,-30.29,259.43,13653,155.26,94.11,66.52,-5.37,182.85,13290,142.66,53.49,49.85,39.32,146.3,12553,174.24,99.2,58.06,16.98,215.38,12989,190.53,175.36,80.78,-65.61,285.11,13056,152.03,88.47,53.17,10.39,187.33,12841,0.940525891745404
170,189.41,134.37,47.91,7.13,275.87,13469,154.62,63.18,43.74,47.7,174.06,12481,154.15,51.77,48.92,53.46,157.0,12935,164.53,73.93,35.41,55.19,203.05,12912,174.59,68.82,43.09,62.68,200.32,13112,168.54,62.2,44.76,61.58,185.98,13087,0.9716385774742
171,177.61,155.65,65.2,-43.24,268.06,12811,162.39,72.25,55.19,34.95,179.45,12026,150.55,54.0,54.74,41.81,149.81,12408,171.18,85.39,53.61,32.18,202.96,12433,187.02,148.39,65.88,-27.25,269.53,12388,170.8,81.73,56.31,32.76,196.22,11621,0.9071110764187028
172,155.21,92.7,55.97,6.54,191.94,10116,166.32,92.75,59.14,14.43,199.93,9645,140.69,39.64,39.46,61.59,140.87,9676,173.65,92.2,47.52,33.93,218.33,9650,184.4,141.32,73.5,-30.42,252.22,9343,161.55,76.89,50.17,34.49,188.27,9397,0.928924476077501
173,144.98,90.6,59.02,-4.64,176.56,11500,158.19,119.72,81.98,-43.51,195.93,11543,134.57,43.08,47.52,43.97,130.13,10938,181.28,124.34,73.66,-16.72,231.96,11309,165.49,119.86,60.37,-14.74,224.98,11266,128.89,50.73,44.82,33.34,134.8,11009,0.957304347826087
174,163.28,86.03,62.36,14.89,186.95,12131,174.08,130.52,77.06,-33.5,227.54,11583,142.17,43.48,49.98,48.71,135.67,11648,169.91,94.37,57.82,17.72,206.46,11449,184.53,122.01,65.49,-2.97,241.05,11867,165.96,71.77,58.79,35.4,178.94,11675,0.9624103536394362
175,170.91,154.32,64.58,-47.99,260.65,11449,165.85,90.03,55.43,20.39,200.45,10738,147.46,56.06,47.08,44.32,156.44,11318,174.13,84.13,51.15,38.85,207.11,10805,182.35,103.17,60.17,19.01,225.35,10665,169.46,111.4,54.86,3.2,226.0,11081,0.9678574547995458
176,174.99,149.41,70.23,-44.65,254.17,10745,176.0,154.55,73.53,-52.08,257.02,10237,174.85,94.84,56.88,23.13,212.81,10393,190.06,138.64,70.32,-18.9,258.38,10401,186.3,148.19,77.15,-39.04,257.34,10018,186.54,127.44,69.54,-10.44,244.44,10065,0.9367147510469986
177,178.33,143.13,63.13,-27.93,258.33,11829,167.24,112.49,62.93,-8.18,216.8,11741,135.88,40.69,46.18,49.01,130.39,10790,187.13,124.56,60.0,2.57,251.69,11394,190.07,151.91,71.73,-33.57,270.25,10441,156.55,71.64,52.01,32.9,176.18,11149,0.9425141601149716
