red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
167.49,130.02,71.87,34.18,150.84,168.83,-34.4,225.64,111.0,-222.0,372.0
157.67,52.59,48.67,73.67,182.79,157.67,56.41,161.59,174.0,-237.0,304.0
165.07,69.01,52.63,60.08,181.55,165.07,43.43,181.45,150.0,-228.0,391.0
158.79,41.81,46.79,123.17,192.91,158.79,70.19,153.81,170.0,-191.0,299.0
164.51,82.11,54.71,36.16,171.55,164.51,27.69,191.91,133.0,-180.0,340.0
168.67,132.51,68.35,19.06,158.96,170.05,-32.19,232.83,124.0,-244.0,372.0
165.53,89.52,59.55,17.47,169.47,165.68,16.46,195.5,148.0,-250.0,354.0
158.57,60.16,41.09,23.72,191.14,158.57,57.32,177.64,144.0,-217.0,342.0
184.73,105.74,63.02,14.34,171.25,184.73,15.97,227.45,135.0,-149.0,359.0
190.29,155.3,82.86,19.65,148.34,190.29,-47.87,262.73,94.0,-225.0,357.0
182.06,111.88,64.51,16.89,169.63,182.06,5.67,229.43,124.0,-172.0,350.0
155.96,97.16,57.85,17.51,166.99,155.97,0.95,195.27,129.0,-244.0,365.0
159.25,122.18,70.07,22.33,149.06,160.11,-33.0,211.36,127.0,-246.0,363.0
132.9,49.25,45.13,57.49,177.24,132.9,38.52,137.02,128.0,-233.0,301.0
142.95,81.3,53.43,15.03,165.24,142.95,8.22,170.82,113.0,-239.0,346.0
173.19,160.29,73.05,24.69,149.74,173.83,-60.15,260.43,63.0,-206.0,384.0
170.97,136.23,65.19,28.69,161.38,171.04,-30.45,242.01,111.0,-189.0,384.0
178.01,85.37,53.92,44.0,182.54,178.01,38.72,209.46,157.0,-244.0,366.0
153.59,51.62,59.23,122.05,175.96,153.6,42.74,145.98,166.0,-228.0,356.0
117.62,34.04,52.18,158.34,181.47,117.62,31.4,99.48,139.0,-203.0,253.0
176.16,64.35,48.97,43.56,186.89,176.16,62.84,191.54,181.0,-247.0,341.0
184.8,76.94,48.47,40.46,190.28,184.8,59.39,213.27,158.0,-166.0,358.0
137.97,39.73,53.52,138.88,184.5,137.98,44.72,124.18,169.0,-241.0,277.0
179.94,140.65,75.65,19.55,153.88,181.88,-36.36,244.94,134.0,-239.0,379.0
171.49,155.76,78.12,23.87,144.73,174.81,-62.39,249.13,71.0,-225.0,370.0
185.12,130.53,72.42,16.04,157.33,185.22,-17.83,243.23,116.0,-242.0,369.0
185.86,173.04,80.18,25.88,149.21,188.78,-67.36,278.72,80.0,-245.0,366.0
180.56,157.7,76.36,22.71,152.01,181.29,-53.5,261.9,101.0,-234.0,370.0
188.05,126.64,69.78,14.79,163.96,188.05,-8.37,244.91,101.0,-228.0,375.0
176.92,146.58,68.22,21.29,162.46,177.65,-37.88,255.28,103.0,-218.0,389.0
